GID_2,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2,geometry_polygon,mun_clean,prov_clean,municipality,latitude,longitude,transport_stops,avg_travel_time_to_lucena_min,road_density_km_per_sqkm,has_bus_terminal,population_served,geometry_transport,has_bus_terminal_bin
PHL.62.1_1,PHL,Philippines,PHL.62_1,Quezon,NA,Agdangan,NA,NA,Bayan|Munisipyo,Municipality,45601,PH.QZ.AD,"MULTIPOLYGON (((121.9178 13.8541, 121.9051 13.8548, 121.8995 13.8591, 121.8908 13.8625, 121.8907 13.8688, 121.8879 13.8766, 121.8931 13.8748, 121.8942 13.8792, 121.8972 13.881, 121.9061 13.8786, 121.9071 13.8869, 121.9103 13.8907, 121.9087 13.8958, 121.9066 13.8969, 121.9098 13.8993, 121.9065 13.907, 121.9089 13.9101, 121.9102 13.9085, 121.9128 13.9143, 121.9102 13.9152, 121.9125 13.917, 121.9113 13.9196, 121.9327 13.9233, 121.9445 13.9078, 121.9442 13.9031, 121.9404 13.8998, 121.9407 13.8932, 121.9423 13.8904, 121.9381 13.8861, 121.9378 13.8814, 121.9397 13.877, 121.9415 13.8769, 121.9444 13.8679, 121.9487 13.8674, 121.9496 13.8653, 121.9499 13.8509, 121.9415 13.8519, 121.9344 13.8497, 121.928 13.8499, 121.9218 13.8538, 121.9178 13.8541)))",AGDANGAN,QUEZON,Agdangan,13.88058118914634,121.91883669851416,5,191,4.65,1,15682,POINT (121.91883669851416 13.88058118914634),1
PHL.62.1_1,PHL,Philippines,PHL.62_1,Quezon,NA,Agdangan,NA,NA,Bayan|Munisipyo,Municipality,45601,PH.QZ.AD,"MULTIPOLYGON (((121.9178 13.8541, 121.9051 13.8548, 121.8995 13.8591, 121.8908 13.8625, 121.8907 13.8688, 121.8879 13.8766, 121.8931 13.8748, 121.8942 13.8792, 121.8972 13.881, 121.9061 13.8786, 121.9071 13.8869, 121.9103 13.8907, 121.9087 13.8958, 121.9066 13.8969, 121.9098 13.8993, 121.9065 13.907, 121.9089 13.9101, 121.9102 13.9085, 121.9128 13.9143, 121.9102 13.9152, 121.9125 13.917, 121.9113 13.9196, 121.9327 13.9233, 121.9445 13.9078, 121.9442 13.9031, 121.9404 13.8998, 121.9407 13.8932, 121.9423 13.8904, 121.9381 13.8861, 121.9378 13.8814, 121.9397 13.877, 121.9415 13.8769, 121.9444 13.8679, 121.9487 13.8674, 121.9496 13.8653, 121.9499 13.8509, 121.9415 13.8519, 121.9344 13.8497, 121.928 13.8499, 121.9218 13.8538, 121.9178 13.8541)))",AGDANGAN,QUEZON,Agdangan,13.89142575947564,121.91074797863354,46,173,2.02,0,23436,POINT (121.91074797863354 13.89142575947564),0
PHL.62.1_1,PHL,Philippines,PHL.62_1,Quezon,NA,Agdangan,NA,NA,Bayan|Munisipyo,Municipality,45601,PH.QZ.AD,"MULTIPOLYGON (((121.9178 13.8541, 121.9051 13.8548, 121.8995 13.8591, 121.8908 13.8625, 121.8907 13.8688, 121.8879 13.8766, 121.8931 13.8748, 121.8942 13.8792, 121.8972 13.881, 121.9061 13.8786, 121.9071 13.8869, 121.9103 13.8907, 121.9087 13.8958, 121.9066 13.8969, 121.9098 13.8993, 121.9065 13.907, 121.9089 13.9101, 121.9102 13.9085, 121.9128 13.9143, 121.9102 13.9152, 121.9125 13.917, 121.9113 13.9196, 121.9327 13.9233, 121.9445 13.9078, 121.9442 13.9031, 121.9404 13.8998, 121.9407 13.8932, 121.9423 13.8904, 121.9381 13.8861, 121.9378 13.8814, 121.9397 13.877, 121.9415 13.8769, 121.9444 13.8679, 121.9487 13.8674, 121.9496 13.8653, 121.9499 13.8509, 121.9415 13.8519, 121.9344 13.8497, 121.928 13.8499, 121.9218 13.8538, 121.9178 13.8541)))",AGDANGAN,QUEZON,Agdangan,13.88190188365535,121.91046702162294,3,220,2.95,0,45721,POINT (121.91046702162294 13.88190188365535),0
PHL.62.1_1,PHL,Philippines,PHL.62_1,Quezon,NA,Agdangan,NA,NA,Bayan|Munisipyo,Municipality,45601,PH.QZ.AD,"MULTIPOLYGON (((121.9178 13.8541, 121.9051 13.8548, 121.8995 13.8591, 121.8908 13.8625, 121.8907 13.8688, 121.8879 13.8766, 121.8931 13.8748, 121.8942 13.8792, 121.8972 13.881, 121.9061 13.8786, 121.9071 13.8869, 121.9103 13.8907, 121.9087 13.8958, 121.9066 13.8969, 121.9098 13.8993, 121.9065 13.907, 121.9089 13.9101, 121.9102 13.9085, 121.9128 13.9143, 121.9102 13.9152, 121.9125 13.917, 121.9113 13.9196, 121.9327 13.9233, 121.9445 13.9078, 121.9442 13.9031, 121.9404 13.8998, 121.9407 13.8932, 121.9423 13.8904, 121.9381 13.8861, 121.9378 13.8814, 121.9397 13.877, 121.9415 13.8769, 121.9444 13.8679, 121.9487 13.8674, 121.9496 13.8653, 121.9499 13.8509, 121.9415 13.8519, 121.9344 13.8497, 121.928 13.8499, 121.9218 13.8538, 121.9178 13.8541)))",AGDANGAN,QUEZON,Agdangan,13.883158453083652,121.9227298685162,27,99,3.0,0,18721,POINT (121.9227298685162 13.883158453083652),0
PHL.62.1_1,PHL,Philippines,PHL.62_1,Quezon,NA,Agdangan,NA,NA,Bayan|Munisipyo,Municipality,45601,PH.QZ.AD,"MULTIPOLYGON (((121.9178 13.8541, 121.9051 13.8548, 121.8995 13.8591, 121.8908 13.8625, 121.8907 13.8688, 121.8879 13.8766, 121.8931 13.8748, 121.8942 13.8792, 121.8972 13.881, 121.9061 13.8786, 121.9071 13.8869, 121.9103 13.8907, 121.9087 13.8958, 121.9066 13.8969, 121.9098 13.8993, 121.9065 13.907, 121.9089 13.9101, 121.9102 13.9085, 121.9128 13.9143, 121.9102 13.9152, 121.9125 13.917, 121.9113 13.9196, 121.9327 13.9233, 121.9445 13.9078, 121.9442 13.9031, 121.9404 13.8998, 121.9407 13.8932, 121.9423 13.8904, 121.9381 13.8861, 121.9378 13.8814, 121.9397 13.877, 121.9415 13.8769, 121.9444 13.8679, 121.9487 13.8674, 121.9496 13.8653, 121.9499 13.8509, 121.9415 13.8519, 121.9344 13.8497, 121.928 13.8499, 121.9218 13.8538, 121.9178 13.8541)))",AGDANGAN,QUEZON,Agdangan,13.890712156577411,121.92308947922646,28,167,3.93,1,38701,POINT (121.92308947922646 13.890712156577411),1
PHL.62.1_1,PHL,Philippines,PHL.62_1,Quezon,NA,Agdangan,NA,NA,Bayan|Munisipyo,Municipality,45601,PH.QZ.AD,"MULTIPOLYGON (((121.9178 13.8541, 121.9051 13.8548, 121.8995 13.8591, 121.8908 13.8625, 121.8907 13.8688, 121.8879 13.8766, 121.8931 13.8748, 121.8942 13.8792, 121.8972 13.881, 121.9061 13.8786, 121.9071 13.8869, 121.9103 13.8907, 121.9087 13.8958, 121.9066 13.8969, 121.9098 13.8993, 121.9065 13.907, 121.9089 13.9101, 121.9102 13.9085, 121.9128 13.9143, 121.9102 13.9152, 121.9125 13.917, 121.9113 13.9196, 121.9327 13.9233, 121.9445 13.9078, 121.9442 13.9031, 121.9404 13.8998, 121.9407 13.8932, 121.9423 13.8904, 121.9381 13.8861, 121.9378 13.8814, 121.9397 13.877, 121.9415 13.8769, 121.9444 13.8679, 121.9487 13.8674, 121.9496 13.8653, 121.9499 13.8509, 121.9415 13.8519, 121.9344 13.8497, 121.928 13.8499, 121.9218 13.8538, 121.9178 13.8541)))",AGDANGAN,QUEZON,Agdangan,13.882007909582107,121.92664824915666,14,56,2.45,1,3897,POINT (121.92664824915666 13.882007909582107),1
PHL.62.1_1,PHL,Philippines,PHL.62_1,Quezon,NA,Agdangan,NA,NA,Bayan|Munisipyo,Municipality,45601,PH.QZ.AD,"MULTIPOLYGON (((121.9178 13.8541, 121.9051 13.8548, 121.8995 13.8591, 121.8908 13.8625, 121.8907 13.8688, 121.8879 13.8766, 121.8931 13.8748, 121.8942 13.8792, 121.8972 13.881, 121.9061 13.8786, 121.9071 13.8869, 121.9103 13.8907, 121.9087 13.8958, 121.9066 13.8969, 121.9098 13.8993, 121.9065 13.907, 121.9089 13.9101, 121.9102 13.9085, 121.9128 13.9143, 121.9102 13.9152, 121.9125 13.917, 121.9113 13.9196, 121.9327 13.9233, 121.9445 13.9078, 121.9442 13.9031, 121.9404 13.8998, 121.9407 13.8932, 121.9423 13.8904, 121.9381 13.8861, 121.9378 13.8814, 121.9397 13.877, 121.9415 13.8769, 121.9444 13.8679, 121.9487 13.8674, 121.9496 13.8653, 121.9499 13.8509, 121.9415 13.8519, 121.9344 13.8497, 121.928 13.8499, 121.9218 13.8538, 121.9178 13.8541)))",AGDANGAN,QUEZON,Agdangan,13.89223737390664,121.9226849399118,3,137,4.63,1,48301,POINT (121.9226849399118 13.89223737390664),1
PHL.62.1_1,PHL,Philippines,PHL.62_1,Quezon,NA,Agdangan,NA,NA,Bayan|Munisipyo,Municipality,45601,PH.QZ.AD,"MULTIPOLYGON (((121.9178 13.8541, 121.9051 13.8548, 121.8995 13.8591, 121.8908 13.8625, 121.8907 13.8688, 121.8879 13.8766, 121.8931 13.8748, 121.8942 13.8792, 121.8972 13.881, 121.9061 13.8786, 121.9071 13.8869, 121.9103 13.8907, 121.9087 13.8958, 121.9066 13.8969, 121.9098 13.8993, 121.9065 13.907, 121.9089 13.9101, 121.9102 13.9085, 121.9128 13.9143, 121.9102 13.9152, 121.9125 13.917, 121.9113 13.9196, 121.9327 13.9233, 121.9445 13.9078, 121.9442 13.9031, 121.9404 13.8998, 121.9407 13.8932, 121.9423 13.8904, 121.9381 13.8861, 121.9378 13.8814, 121.9397 13.877, 121.9415 13.8769, 121.9444 13.8679, 121.9487 13.8674, 121.9496 13.8653, 121.9499 13.8509, 121.9415 13.8519, 121.9344 13.8497, 121.928 13.8499, 121.9218 13.8538, 121.9178 13.8541)))",AGDANGAN,QUEZON,Agdangan,13.884199180759865,121.92589894235036,8,137,0.73,0,15855,POINT (121.92589894235036 13.884199180759865),0
PHL.62.1_1,PHL,Philippines,PHL.62_1,Quezon,NA,Agdangan,NA,NA,Bayan|Munisipyo,Municipality,45601,PH.QZ.AD,"MULTIPOLYGON (((121.9178 13.8541, 121.9051 13.8548, 121.8995 13.8591, 121.8908 13.8625, 121.8907 13.8688, 121.8879 13.8766, 121.8931 13.8748, 121.8942 13.8792, 121.8972 13.881, 121.9061 13.8786, 121.9071 13.8869, 121.9103 13.8907, 121.9087 13.8958, 121.9066 13.8969, 121.9098 13.8993, 121.9065 13.907, 121.9089 13.9101, 121.9102 13.9085, 121.9128 13.9143, 121.9102 13.9152, 121.9125 13.917, 121.9113 13.9196, 121.9327 13.9233, 121.9445 13.9078, 121.9442 13.9031, 121.9404 13.8998, 121.9407 13.8932, 121.9423 13.8904, 121.9381 13.8861, 121.9378 13.8814, 121.9397 13.877, 121.9415 13.8769, 121.9444 13.8679, 121.9487 13.8674, 121.9496 13.8653, 121.9499 13.8509, 121.9415 13.8519, 121.9344 13.8497, 121.928 13.8499, 121.9218 13.8538, 121.9178 13.8541)))",AGDANGAN,QUEZON,Agdangan,13.886721004783295,121.92902802253684,43,133,2.22,1,4463,POINT (121.92902802253684 13.886721004783295),1
PHL.62.1_1,PHL,Philippines,PHL.62_1,Quezon,NA,Agdangan,NA,NA,Bayan|Munisipyo,Municipality,45601,PH.QZ.AD,"MULTIPOLYGON (((121.9178 13.8541, 121.9051 13.8548, 121.8995 13.8591, 121.8908 13.8625, 121.8907 13.8688, 121.8879 13.8766, 121.8931 13.8748, 121.8942 13.8792, 121.8972 13.881, 121.9061 13.8786, 121.9071 13.8869, 121.9103 13.8907, 121.9087 13.8958, 121.9066 13.8969, 121.9098 13.8993, 121.9065 13.907, 121.9089 13.9101, 121.9102 13.9085, 121.9128 13.9143, 121.9102 13.9152, 121.9125 13.917, 121.9113 13.9196, 121.9327 13.9233, 121.9445 13.9078, 121.9442 13.9031, 121.9404 13.8998, 121.9407 13.8932, 121.9423 13.8904, 121.9381 13.8861, 121.9378 13.8814, 121.9397 13.877, 121.9415 13.8769, 121.9444 13.8679, 121.9487 13.8674, 121.9496 13.8653, 121.9499 13.8509, 121.9415 13.8519, 121.9344 13.8497, 121.928 13.8499, 121.9218 13.8538, 121.9178 13.8541)))",AGDANGAN,QUEZON,Agdangan,13.88459401029838,121.9220265544116,50,44,4.84,0,13710,POINT (121.9220265544116 13.88459401029838),0
